"Année";"Pays de résidence";"Droit de cité";"Sexe - total Classe d'âge - total";"Sexe - total 0-17 ans";"Sexe - total 18-64 ans";"Sexe - total 65 ans ou plus";"Homme Classe d'âge - total";"Homme 0-17 ans";"Homme 18-64 ans";"Homme 65 ans ou plus";"Femme Classe d'âge - total";"Femme 0-17 ans";"Femme 18-64 ans";"Femme 65 ans ou plus"
"2019";">> 8445 Saint-Kitts-et-Nevis";"Droit de cité - total";21;0;5;16;11;0;1;10;10;0;4;6
"2019";">> 8446 Anguilla";"Droit de cité - total";2;0;2;0;1;0;1;0;1;0;1;0
"2019";">> 8448 Saint-Martin (France)";"Droit de cité - total";50;8;34;8;24;5;15;4;26;3;19;4
"2019";">> 8449 Saint-Barthélemy";"Droit de cité - total";30;3;18;9;17;2;9;6;13;1;9;3
"2019";">> 8472 Îles Vierges américaines";"Droit de cité - total";12;0;5;7;4;0;2;2;8;0;3;5
"2019";">> 8473 Îles Cayman";"Droit de cité - total";69;20;39;10;33;10;19;4;36;10;20;6
"2019";">> 8474 Îles Turques et Caïques";"Droit de cité - total";34;10;14;10;11;2;3;6;23;8;11;4
"2019";">> 8476 Îles Vierges britanniques";"Droit de cité - total";12;3;9;0;6;2;4;0;6;1;5;0
"2019";">> 8482 Aruba";"Droit de cité - total";20;2;10;8;7;1;3;3;13;1;7;5
"2019";">> 8484 Curaçao";"Droit de cité - total";43;7;26;10;17;4;9;4;26;3;17;6
"2019";">> 8485 Sint Maarten (Pays-Bas)";"Droit de cité - total";12;0;6;6;5;0;2;3;7;0;4;3
"2019";">> 8486 Bonaire, Saint Eustatius et Saba";"Droit de cité - total";23;4;17;2;7;1;5;1;16;3;12;1
"2019";"- Asie";"Droit de cité - total";53615;17551;28341;7723;29474;8996;15569;4909;24141;8555;12772;2814
"2019";">> 8501 Afghanistan";"Droit de cité - total";24;2;21;1;10;2;7;1;14;0;14;0
"2019";">> 8502 Bahreïn";"Droit de cité - total";102;35;59;8;58;22;31;5;44;13;28;3
"2019";">> 8503 Bhoutan";"Droit de cité - total";19;5;9;5;10;3;4;3;9;2;5;2
"2019";">> 8504 Brunéi Darussalam";"Droit de cité - total";15;5;9;1;7;1;6;0;8;4;3;1
"2019";">> 8505 Myanmar";"Droit de cité - total";131;46;79;6;74;24;46;4;57;22;33;2
"2019";">> 8506 Sri Lanka";"Droit de cité - total";490;121;248;121;248;64;118;66;242;57;130;55
"2019";">> 8507 Taïwan (Taipei chinois)";"Droit de cité - total";340;74;217;49;208;34;147;27;132;40;70;22
"2019";">> 8508 Chine";"Droit de cité - total";1297;394;845;58;830;194;593;43;467;200;252;15
"2019";">> 8509 Hong Kong";"Droit de cité - total";2076;579;1299;198;1194;282;794;118;882;297;505;80
"2019";">> 8510 Inde";"Droit de cité - total";647;148;380;119;298;80;171;47;349;68;209;72
"2019";">> 8511 Indonésie";"Droit de cité - total";1042;257;582;203;615;127;351;137;427;130;231;66
"2019";">> 8512 Irak";"Droit de cité - total";90;40;46;4;50;22;26;2;40;18;20;2
"2019";">> 8513 Iran";"Droit de cité - total";204;41;126;37;115;14;73;28;89;27;53;9
"2019";">> 8514 Israël";"Droit de cité - total";20885;9731;9692;1462;10163;5032;4590;541;10722;4699;5102;921
"2019";">> 8515 Japon";"Droit de cité - total";1735;437;1061;237;965;231;654;80;770;206;407;157
"2019";">> 8516 Yémen";"Droit de cité - total";14;1;13;0;6;1;5;0;8;0;8;0
"2019";">> 8517 Jordanie";"Droit de cité - total";247;102;124;21;121;57;50;14;126;45;74;7
"2019";">> 8518 Cambodge";"Droit de cité - total";366;72;219;75;238;39;149;50;128;33;70;25
"2019";">> 8519 Qatar";"Droit de cité - total";234;85;146;3;123;44;77;2;111;41;69;1
"2019";">> 8521 Koweït";"Droit de cité - total";82;27;48;7;37;9;25;3;45;18;23;4
"2019";">> 8522 Laos";"Droit de cité - total";108;28;70;10;68;13;48;7;40;15;22;3
"2019";">> 8523 Liban";"Droit de cité - total";1372;558;625;189;641;268;287;86;731;290;338;103
"2019";">> 8524 Macao";"Droit de cité - total";37;9;24;4;16;5;9;2;21;4;15;2
"2019";">> 8525 Malaisie";"Droit de cité - total";740;154;426;160;400;66;238;96;340;88;188;64
"2019";">> 8526 Maldives";"Droit de cité - total";57;8;46;3;36;4;30;2;21;4;16;1
"2019";">> 8527 Oman";"Droit de cité - total";87;31;48;8;40;15;21;4;47;16;27;4
"2019";">> 8528 Mongolie";"Droit de cité - total";24;10;12;2;17;6;9;2;7;4;3;0
"2019";">> 8529 Népal";"Droit de cité - total";98;20;58;20;53;11;29;13;45;9;29;7
"2019";">> 8530 Corée (Nord)";"Droit de cité - total";7;0;7;0;5;0;5;0;2;0;2;0
"2019";">> 8532 Émirats arabes unis";"Droit de cité - total";2960;982;1828;150;1656;496;1054;106;1304;486;774;44
"2019";">> 8533 Pakistan";"Droit de cité - total";330;157;152;21;161;70;81;10;169;87;71;11
"2019";">> 8534 Philippines";"Droit de cité - total";3494;628;1896;970;1952;323;967;662;1542;305;929;308
"2019";">> 8535 Arabie saoudite";"Droit de cité - total";325;101;199;25;205;54;130;21;120;47;69;4
"2019";">> 8537 Singapour";"Droit de cité - total";2949;1018;1792;139;1792;541;1162;89;1157;477;630;50
"2019";">> 8539 Corée (Sud)";"Droit de cité - total";263;63;171;29;151;32;104;15;112;31;67;14
"2019";">> 8541 Syrie";"Droit de cité - total";66;21;36;9;29;5;20;4;37;16;16;5
"2019";">> 8542 Thaïlande";"Droit de cité - total";9551;1218;5073;3260;6218;632;3047;2539;3333;586;2026;721
"2019";">> 8545 Vietnam";"Droit de cité - total";653;189;388;76;438;100;279;59;215;89;109;17
"2019";">> 8546 Bangladesh";"Droit de cité - total";93;33;54;6;46;15;28;3;47;18;26;3
"2019";">> 8547 Timor-Leste";"Droit de cité - total";11;5;5;1;6;3;2;1;5;2;3;0
"2019";">> 8550 Palestine";"Droit de cité - total";78;34;36;8;34;13;17;4;44;21;19;4
"2019";">> 8560 Arménie";"Droit de cité - total";28;6;20;2;15;4;9;2;13;2;11;0
"2019";">> 8561 Azerbaïdjan";"Droit de cité - total";32;8;24;0;18;5;13;0;14;3;11;0
"2019";">> 8562 Géorgie";"Droit de cité - total";80;28;46;6;33;7;22;4;47;21;24;2
"2019";">> 8563 Kazakhstan";"Droit de cité - total";37;7;24;6;24;5;15;4;13;2;9;2
"2019";">> 8564 Kirghizistan";"Droit de cité - total";58;22;32;4;35;15;17;3;23;7;15;1
"2019";">> 8565 Tadjikistan";"Droit de cité - total";24;7;17;0;10;5;5;0;14;2;12;0
"2019";">> 8566 Turkménistan";"Droit de cité - total";0;0;0;0;0;0;0;0;0;0;0;0
"2019";">> 8567 Ouzbékistan";"Droit de cité - total";13;4;9;0;5;1;4;0;8;3;5;0
"2019";"- Océanie";"Droit de cité - total";33298;6388;19968;6942;15516;3332;9228;2956;17782;3056;10740;3986
"2019";">> 8601 Australie";"Droit de cité - total";25459;4815;15077;5567;11918;2532;7018;2368;13541;2283;8059;3199
"2019";">> 8602 Fidji";"Droit de cité - total";35;4;25;6;23;4;15;4;12;0;10;2
"2019";">> 8604 Nauru";"Droit de cité - total";0;0;0;0;0;0;0;0;0;0;0;0
"2019";">> 8605 Vanuatu";"Droit de cité - total";27;7;13;7;14;4;5;5;13;3;8;2
"2019";">> 8606 Nouvelle-Calédonie";"Droit de cité - total";271;61;161;49;128;27;77;24;143;34;84;25
"2019";">> 8607 Nouvelle-Zélande";"Droit de cité - total";7089;1400;4459;1230;3226;715;1996;515;3863;685;2463;715
"2019";">> 8608 Papouasie-Nouvelle-Guinée";"Droit de cité - total";96;31;57;8;52;16;31;5;44;15;26;3
"2019";">> 8610 Tonga";"Droit de cité - total";10;2;5;3;6;2;3;1;4;0;2;2
"2019";">> 8611 Wallis-et-Futuna";"Droit de cité - total";0;0;0;0;0;0;0;0;0;0;0;0
"2019";">> 8612 Samoa";"Droit de cité - total";19;5;12;2;8;1;5;2;11;4;7;0
"2019";">> 8614 Îles Salomon";"Droit de cité - total";13;6;4;3;7;3;2;2;6;3;2;1
"2019";">> 8615 Tuvalu";"Droit de cité - total";0;0;0;0;0;0;0;0;0;0;0;0
"2019";">> 8616 Kiribati";"Droit de cité - total";3;0;3;0;2;0;2;0;1;0;1;0
"2019";">> 8617 Îles Marshall";"Droit de cité - total";1;0;1;0;1;0;1;0;0;0;0;0
"2019";">> 8618 Micronésie";"Droit de cité - total";1;0;0;1;1;0;0;1;0;0;0;0
"2019";">> 8619 Palaos";"Droit de cité - total";3;2;1;0;1;1;0;0;2;1;1;0
"2019";">> 8632 Guam";"Droit de cité - total";14;6;5;3;6;3;2;1;8;3;3;2
"2019";">> 8671 Polynésie française";"Droit de cité - total";237;48;131;58;115;23;67;25;122;25;64;33
"2019";">> 8682 Îles Cook";"Droit de cité - total";19;1;14;4;7;1;4;2;12;0;10;2
"2019";">> 8683 Nioué";"Droit de cité - total";1;0;0;1;1;0;0;1;0;0;0;0
